,PAROLES,Dimension Dialogique,Langue
0,oui la première année ça ne sera pas rentable tout de suite mais ça le sera sur le long terme,1,af
1,"oui la première année ça ne sera pas rentable tout de suite, mais ça le sera sur le long terme",1,sq
2,"Oui, la première année ne sera pas rentable immédiatement, mais elle le sera sur le long terme",1,am
3,"Oui, la première année, ce ne sera pas rentable immédiatement, mais ce sera rentable à long terme",1,ar
4,"oui, la première année ne sera pas immédiatement rentable, mais à long terme",1,hy
5,"oui, la première année ne sera pas rentable immédiatement, mais elle le sera sur le long terme",1,az
6,oui la première année ce ne sera pas immédiatement rentable mais ce le serait à long terme,1,eu
7,"oui, ce ne sera pas rentable tout de suite la première année, mais ce sera sur le long terme",1,be
8,"Oui la première année, ce ne sera pas rentable directement mais ce sera sur le long terme",1,bn
9,"que la première année, ce ne serait pas rentable immédiatement, mais ce serait à long terme",1,bs
10,"oui, la première année ne sera pas rentable tout de suite, mais elle le sera sur le long terme",1,bg
11,"Oui, la première année ne sera pas rentable immédiatement, mais elle le sera sur le long terme",1,ca
12,oui la première année ce ne sera pas rentable immédiatement mais ça le sera sur le long terme,1,ceb
13,"Oui, la première année ne sera pas rentable immédiatement mais elle le sera sur le long terme",1,ny
14,"Oui, ce ne sera pas rentable immédiatement la première année, mais ce sera rentable à long terme",1,zh-cn
15,"Oui, il n’y aura pas de profit immédiat la première année, mais il sera rentable à long terme.",1,zh-tw
16,oui la première année ne sera pas rentable dans l'immédiat mais elle le serait sur le long terme,1,co
17,"oui, ce ne sera pas rentable la première année, mais à long terme",1,hr
18,oui la première année ça ne sera pas rentable tout de suite mais ça le serait à long terme,1,cs
19,oui la première année ça ne sera pas rentable immédiatement mais ça le sera à long terme,1,da
20,"Oui, ce ne sera pas immédiatement rentable la première année, mais à long terme, ce sera le cas.",1,nl
21,oui la première année ça ne sera pas rentable tout de suite mais ça le serait sur le long terme,1,en
22,oui la première année ce ne sera pas rentable tout de suite mais ce serait à long terme,1,eo
23,"oui, ce ne sera pas rentable immédiatement la première année, mais ce le sera sur le long terme",1,et
24,oui la première année ce n'est pas rentable immédiatement mais ça l'est sur le long terme,1,tl
25,"oui, la première année, ce ne sera pas rentable tout de suite, mais ce le sera à long terme",1,fi
26,oui la première année ça ne sera pas rentable tout de suite mais ça le serait à long terme,1,fy
27,oui la première année ne sera pas rentable dans l'immédiat mais elle le serait sur le long terme,1,gl
28,"Oui, la première année, ce ne sera pas rentable immédiatement, mais cela le sera à long terme.",1,ka
29,"Oui, ce ne sera pas immédiatement rentable la première année, mais à long terme, ce sera le cas.",1,de
30,oui la première année ce ne sera pas rentable immédiatement mais ce le sera sur le long terme,1,el
31,"Oui la première année, ce ne sera pas rentable immédiatement mais ce sera sur le long terme",1,gu
32,oui la première année ça ne sera pas rentable tout de suite mais ça le serait sur le long terme,1,ht
33,"la première année, il n'y aura pas de profit direct mais ce sera le cas à long terme",1,ha
34,Oui la première année ce ne sera pas rentable immédiatement mais à long terme,1,haw
35,"Oui la première année, ce ne sera pas rentable immédiatement mais cela le sera sur le long terme",1,iw
36,"Oui la première année, ce ne sera pas rentable immédiatement mais cela le sera sur le long terme",1,he
37,"Oui, ce ne sera pas immédiatement rentable la première année mais cela le sera sur le long terme.",1,hi
38,si la première année cela ne sera pas directement bénéfique mais cela le sera sur le long terme,1,hmn
39,"oui, ce ne sera pas rentable immédiatement la première année, mais ce sera sur le long terme",1,hu
40,oui la première année ça ne sera pas rentable tout de suite mais ça le serait sur le long terme,1,is
41,oui la première année ça ne sera pas rentable immédiatement mais ça le sera sur le long terme,1,ig
42,"Oui, la première année, vous ne ferez pas de profit tout de suite, mais vous en ferez sur le long terme.",1,id
